date_key,full_date,day_of_week,week_of_year,month,quarter,year,is_weekend
20260429,2026-04-29,Wednesday,18,April,Q2,2026,False
20260430,2026-04-30,Thursday,18,April,Q2,2026,False
20260501,2026-05-01,Friday,18,May,Q2,2026,False
20260502,2026-05-02,Saturday,18,May,Q2,2026,True
20260503,2026-05-03,Sunday,18,May,Q2,2026,True
20260504,2026-05-04,Monday,19,May,Q2,2026,False
20260505,2026-05-05,Tuesday,19,May,Q2,2026,False
20260506,2026-05-06,Wednesday,19,May,Q2,2026,False
20260507,2026-05-07,Thursday,19,May,Q2,2026,False
20260508,2026-05-08,Friday,19,May,Q2,2026,False
20260509,2026-05-09,Saturday,19,May,Q2,2026,True
20260510,2026-05-10,Sunday,19,May,Q2,2026,True
20260511,2026-05-11,Monday,20,May,Q2,2026,False
20260512,2026-05-12,Tuesday,20,May,Q2,2026,False
20260513,2026-05-13,Wednesday,20,May,Q2,2026,False
20260514,2026-05-14,Thursday,20,May,Q2,2026,False
20260515,2026-05-15,Friday,20,May,Q2,2026,False
20260516,2026-05-16,Saturday,20,May,Q2,2026,True
20260517,2026-05-17,Sunday,20,May,Q2,2026,True
20260518,2026-05-18,Monday,21,May,Q2,2026,False
20260519,2026-05-19,Tuesday,21,May,Q2,2026,False
20260520,2026-05-20,Wednesday,21,May,Q2,2026,False
20260521,2026-05-21,Thursday,21,May,Q2,2026,False
20260522,2026-05-22,Friday,21,May,Q2,2026,False
20260523,2026-05-23,Saturday,21,May,Q2,2026,True
20260524,2026-05-24,Sunday,21,May,Q2,2026,True
20260525,2026-05-25,Monday,22,May,Q2,2026,False
20260526,2026-05-26,Tuesday,22,May,Q2,2026,False
20260527,2026-05-27,Wednesday,22,May,Q2,2026,False
20260528,2026-05-28,Thursday,22,May,Q2,2026,False
20260529,2026-05-29,Friday,22,May,Q2,2026,False
20260530,2026-05-30,Saturday,22,May,Q2,2026,True
20260531,2026-05-31,Sunday,22,May,Q2,2026,True
20260601,2026-06-01,Monday,23,June,Q2,2026,False
20260602,2026-06-02,Tuesday,23,June,Q2,2026,False
20260603,2026-06-03,Wednesday,23,June,Q2,2026,False
20260604,2026-06-04,Thursday,23,June,Q2,2026,False
20260605,2026-06-05,Friday,23,June,Q2,2026,False
20260606,2026-06-06,Saturday,23,June,Q2,2026,True
20260607,2026-06-07,Sunday,23,June,Q2,2026,True
20260608,2026-06-08,Monday,24,June,Q2,2026,False
20260609,2026-06-09,Tuesday,24,June,Q2,2026,False
20260610,2026-06-10,Wednesday,24,June,Q2,2026,False
20260611,2026-06-11,Thursday,24,June,Q2,2026,False
20260612,2026-06-12,Friday,24,June,Q2,2026,False
20260613,2026-06-13,Saturday,24,June,Q2,2026,True
20260614,2026-06-14,Sunday,24,June,Q2,2026,True
20260615,2026-06-15,Monday,25,June,Q2,2026,False
20260616,2026-06-16,Tuesday,25,June,Q2,2026,False
20260617,2026-06-17,Wednesday,25,June,Q2,2026,False
20260618,2026-06-18,Thursday,25,June,Q2,2026,False
20260619,2026-06-19,Friday,25,June,Q2,2026,False
20260620,2026-06-20,Saturday,25,June,Q2,2026,True
20260621,2026-06-21,Sunday,25,June,Q2,2026,True
20260622,2026-06-22,Monday,26,June,Q2,2026,False
20260623,2026-06-23,Tuesday,26,June,Q2,2026,False
20260624,2026-06-24,Wednesday,26,June,Q2,2026,False
20260625,2026-06-25,Thursday,26,June,Q2,2026,False
20260626,2026-06-26,Friday,26,June,Q2,2026,False
20260627,2026-06-27,Saturday,26,June,Q2,2026,True
20260628,2026-06-28,Sunday,26,June,Q2,2026,True
20260629,2026-06-29,Monday,27,June,Q2,2026,False
20260630,2026-06-30,Tuesday,27,June,Q2,2026,False
20260701,2026-07-01,Wednesday,27,July,Q3,2026,False
20260702,2026-07-02,Thursday,27,July,Q3,2026,False
20260703,2026-07-03,Friday,27,July,Q3,2026,False
20260704,2026-07-04,Saturday,27,July,Q3,2026,True
20260705,2026-07-05,Sunday,27,July,Q3,2026,True
20260706,2026-07-06,Monday,28,July,Q3,2026,False
20260707,2026-07-07,Tuesday,28,July,Q3,2026,False
20260708,2026-07-08,Wednesday,28,July,Q3,2026,False
20260709,2026-07-09,Thursday,28,July,Q3,2026,False
20260710,2026-07-10,Friday,28,July,Q3,2026,False
20260711,2026-07-11,Saturday,28,July,Q3,2026,True
20260712,2026-07-12,Sunday,28,July,Q3,2026,True
20260713,2026-07-13,Monday,29,July,Q3,2026,False
20260714,2026-07-14,Tuesday,29,July,Q3,2026,False
20260715,2026-07-15,Wednesday,29,July,Q3,2026,False
20260716,2026-07-16,Thursday,29,July,Q3,2026,False
20260717,2026-07-17,Friday,29,July,Q3,2026,False
20260718,2026-07-18,Saturday,29,July,Q3,2026,True
20260719,2026-07-19,Sunday,29,July,Q3,2026,True
20260720,2026-07-20,Monday,30,July,Q3,2026,False
20260721,2026-07-21,Tuesday,30,July,Q3,2026,False
20260722,2026-07-22,Wednesday,30,July,Q3,2026,False
20260723,2026-07-23,Thursday,30,July,Q3,2026,False
20260724,2026-07-24,Friday,30,July,Q3,2026,False
20260725,2026-07-25,Saturday,30,July,Q3,2026,True
20260726,2026-07-26,Sunday,30,July,Q3,2026,True
20260727,2026-07-27,Monday,31,July,Q3,2026,False
