reading_id,reading_time,zone_code,temperature_c,humidity_pct,risk_factor_code,anomaly_flag
ENV-300000,2026-05-18 16:00,J,23.8,36.4,EF-03,False
ENV-300001,2026-06-09 03:00,A,16.0,40.1,EF-02,False
ENV-300002,2026-07-05 22:00,D,21.5,52.8,EF-03,False
ENV-300003,2026-05-02 17:00,J,24.8,59.5,EF-05,False
ENV-300004,2026-06-21 23:00,E,31.5,54.1,EF-08,False
ENV-300005,2026-05-01 07:00,H,22.7,47.9,EF-03,False
ENV-300006,2026-07-23 00:00,A,34.6,88.6,EF-04,False
ENV-300007,2026-06-06 11:00,G,24.9,64.1,EF-08,False
ENV-300008,2026-07-11 06:00,I,31.5,56.5,EF-05,False
ENV-300009,2026-06-03 20:00,B,20.0,52.8,EF-02,False
ENV-300010,2026-07-11 21:00,J,21.1,84.1,EF-07,False
ENV-300011,2026-05-24 06:00,I,19.1,63.5,EF-04,False
ENV-300012,2026-06-24 09:00,H,35.4,45.8,EF-08,False
ENV-300013,2026-06-15 22:00,G,33.5,72.4,EF-07,False
ENV-300014,2026-06-10 10:00,I,30.7,50.7,EF-05,False
ENV-300015,2026-05-16 18:00,B,16.7,66.2,EF-07,False
ENV-300016,2026-05-17 08:00,E,24.5,59.8,EF-07,False
ENV-300017,2026-07-01 04:00,C,24.9,61.5,EF-05,False
ENV-300018,2026-07-17 21:00,J,25.3,65.1,EF-07,True
ENV-300019,2026-07-12 16:00,J,25.2,55.7,EF-06,False
ENV-300020,2026-06-28 01:00,E,32.3,66.7,EF-08,False
ENV-300021,2026-05-12 05:00,C,29.9,41.2,EF-07,False
ENV-300022,2026-06-10 17:00,F,37.6,74.1,EF-03,False
ENV-300023,2026-05-03 16:00,H,23.1,56.8,EF-05,False
ENV-300024,2026-07-21 11:00,B,31.3,42.5,EF-02,False
ENV-300025,2026-05-18 10:00,J,28.5,65.0,EF-05,False
ENV-300026,2026-07-20 03:00,G,24.5,53.4,EF-07,False
ENV-300027,2026-07-19 20:00,E,21.4,18.0,EF-03,False
ENV-300028,2026-07-08 02:00,D,27.1,39.6,EF-02,False
ENV-300029,2026-06-27 21:00,I,31.7,42.3,EF-06,False
ENV-300030,2026-06-15 22:00,I,31.1,41.8,EF-05,False
ENV-300031,2026-07-06 13:00,I,29.5,27.8,EF-08,False
ENV-300032,2026-07-17 18:00,B,28.1,45.2,EF-07,True
ENV-300033,2026-06-23 15:00,D,27.0,75.2,EF-03,False
ENV-300034,2026-06-07 15:00,J,28.7,75.9,EF-01,False
ENV-300035,2026-05-25 10:00,B,21.6,45.2,EF-08,False
ENV-300036,2026-04-29 00:00,C,23.4,40.1,EF-06,False
ENV-300037,2026-05-19 14:00,I,23.2,66.3,EF-02,False
ENV-300038,2026-06-30 00:00,A,26.4,42.3,EF-08,False
ENV-300039,2026-05-30 05:00,E,23.3,59.4,EF-04,False
ENV-300040,2026-07-23 12:00,H,23.1,54.5,EF-07,False
ENV-300041,2026-07-02 17:00,E,32.0,52.9,EF-08,False
ENV-300042,2026-05-23 11:00,G,24.6,44.5,EF-02,False
ENV-300043,2026-06-19 14:00,C,31.9,95.0,EF-03,False
ENV-300044,2026-05-14 17:00,D,21.8,28.6,EF-03,False
ENV-300045,2026-06-29 18:00,B,19.7,65.2,EF-07,False
ENV-300046,2026-05-08 17:00,J,25.7,33.9,EF-04,False
ENV-300047,2026-06-16 19:00,F,21.3,25.5,EF-07,False
ENV-300048,2026-06-02 11:00,J,32.2,64.3,EF-05,False
ENV-300049,2026-06-20 14:00,H,26.5,56.4,EF-08,False
ENV-300050,2026-06-24 11:00,E,30.1,85.0,EF-05,False
ENV-300051,2026-05-15 08:00,E,30.5,58.1,EF-03,False
ENV-300052,2026-06-01 06:00,F,29.4,47.0,EF-03,False
ENV-300053,2026-05-28 14:00,D,31.5,27.1,EF-05,False
ENV-300054,2026-05-12 06:00,J,36.2,73.6,EF-04,False
ENV-300055,2026-05-13 13:00,C,34.3,83.2,EF-07,False
ENV-300056,2026-05-30 00:00,F,26.2,57.8,EF-04,False
ENV-300057,2026-07-21 09:00,I,26.1,32.0,EF-05,False
ENV-300058,2026-06-23 21:00,F,28.0,76.9,EF-03,False
ENV-300059,2026-05-16 05:00,I,26.7,71.1,EF-03,False
ENV-300060,2026-06-09 11:00,D,31.5,58.6,EF-05,False
ENV-300061,2026-05-18 13:00,E,34.3,66.5,EF-06,False
ENV-300062,2026-06-27 20:00,D,31.6,42.8,EF-07,False
ENV-300063,2026-05-20 02:00,I,10.7,46.5,EF-03,False
ENV-300064,2026-05-02 01:00,D,23.4,54.8,EF-08,False
ENV-300065,2026-06-15 20:00,D,34.4,39.3,EF-06,False
ENV-300066,2026-05-08 17:00,B,30.8,54.3,EF-08,False
ENV-300067,2026-06-08 22:00,G,25.1,69.4,EF-06,False
ENV-300068,2026-07-08 06:00,A,29.7,42.6,EF-02,False
ENV-300069,2026-06-28 10:00,G,24.2,57.5,EF-02,False
