feed_id,reported_time,threat_category_raw,confidence_score,source_name,geo_hint
EXT-400000,2026-07-24T11:00:00,CYBER-related,21.2,ThreatWatch Intl,Northern District
EXT-400001,2026-07-14T12:00:00,CYBER-related,55.7,GlobalIntel API,Zone E
EXT-400002,2026-06-15T00:00:00,CYBER-related,58.2,GlobalIntel API,Zone B
EXT-400003,2026-07-09T18:00:00,Cyber,37.7,ThreatWatch Intl,Central Hub
EXT-400004,2026-05-22T17:00:00,Other,63.5,ThreatWatch Intl,Eastern Corridor
EXT-400005,2026-05-29T11:00:00,Intrusion,60.1,CyberSentry Feed,Zone D
EXT-400006,2026-05-30T02:00:00,Other,93.1,CyberSentry Feed,Southern Belt
EXT-400007,2026-07-05T06:00:00,Intrusion,60.8,OpenCTI Mirror,Western Zone
EXT-400008,2026-06-08T19:00:00,intrusion,74.6,CyberSentry Feed,Zone I
EXT-400009,2026-06-21T11:00:00,Other,78.7,ThreatWatch Intl,Southern Belt
EXT-400010,2026-07-04T05:00:00,Other,99.0,ThreatWatch Intl,Central Hub
EXT-400011,2026-06-14T01:00:00,Cyber,84.0,CyberSentry Feed,Southern Belt
EXT-400012,2026-07-02T17:00:00,Environmental,36.9,ThreatWatch Intl,Zone H
EXT-400013,2026-04-29T22:00:00,Cyber,5.0,OpenCTI Mirror,Zone C
EXT-400014,2026-05-18T11:00:00,,38.2,ThreatWatch Intl,Zone E
EXT-400015,2026-06-13T00:00:00,CYBER-related,66.9,GlobalIntel API,Eastern Corridor
EXT-400016,2026-05-12T20:00:00,CYBER-related,40.3,GlobalIntel API,Zone B
EXT-400017,2026-07-19T19:00:00,CYBER-related,95.1,CyberSentry Feed,Southern Belt
EXT-400018,2026-04-29T19:00:00,Environmental,72.9,ThreatWatch Intl,Zone C
EXT-400019,2026-06-10T17:00:00,Physical,63.9,OpenCTI Mirror,Southern Belt
EXT-400020,2026-07-18T06:00:00,intrusion,90.7,GlobalIntel API,Zone A
EXT-400021,2026-07-09T06:00:00,CYBER-related,8.5,CyberSentry Feed,Zone A
EXT-400022,2026-06-10T20:00:00,Physical,63.3,OpenCTI Mirror,Northern District
EXT-400023,2026-07-09T22:00:00,Intrusion,89.9,OpenCTI Mirror,
EXT-400024,2026-05-24T13:00:00,Other,42.1,GlobalIntel API,Zone D
EXT-400025,2026-07-08T03:00:00,Cyber,53.8,GlobalIntel API,Eastern Corridor
EXT-400026,2026-06-01T00:00:00,Other,28.5,CyberSentry Feed,Zone H
EXT-400027,2026-05-09T04:00:00,Intrusion,69.2,ThreatWatch Intl,Southern Belt
EXT-400028,2026-05-09T12:00:00,CYBER-related,83.2,ThreatWatch Intl,Northern District
EXT-400029,2026-05-05T17:00:00,intrusion,44.5,GlobalIntel API,Zone D
EXT-400030,2026-07-19T21:00:00,CYBER-related,69.0,OpenCTI Mirror,Zone H
EXT-400031,2026-05-10T03:00:00,CYBER-related,70.9,ThreatWatch Intl,Zone C
EXT-400032,2026-07-11T06:00:00,Environmental,55.5,CyberSentry Feed,Eastern Corridor
EXT-400033,2026-06-23T09:00:00,Other,84.8,OpenCTI Mirror,Central Hub
EXT-400034,2026-06-23T20:00:00,Environmental,54.1,CyberSentry Feed,Zone J
EXT-400035,2026-06-06T12:00:00,Environmental,74.1,ThreatWatch Intl,Central Hub
EXT-400036,2026-07-01T01:00:00,Other,80.3,ThreatWatch Intl,
EXT-400037,2026-07-10T05:00:00,,99.0,OpenCTI Mirror,Zone C
EXT-400038,2026-06-02T17:00:00,Other,43.0,ThreatWatch Intl,Northern District
EXT-400039,2026-05-31T20:00:00,intrusion,77.8,OpenCTI Mirror,Zone I
EXT-400040,2026-07-25T10:00:00,Cyber,43.5,GlobalIntel API,Northern District
EXT-400041,2026-06-13T00:00:00,Physical,72.9,ThreatWatch Intl,Central Hub
EXT-400042,2026-05-04T09:00:00,intrusion,54.0,OpenCTI Mirror,Northern District
EXT-400043,2026-06-27T08:00:00,Environmental,49.1,ThreatWatch Intl,Central Hub
EXT-400044,2026-05-23T10:00:00,CYBER-related,48.5,OpenCTI Mirror,Zone I
EXT-400045,2026-05-07T15:00:00,Other,52.8,OpenCTI Mirror,Central Hub
EXT-400046,2026-07-06T18:00:00,Cyber,48.2,ThreatWatch Intl,Central Hub
EXT-400047,2026-05-10T17:00:00,Other,63.7,OpenCTI Mirror,Eastern Corridor
EXT-400048,2026-07-06T21:00:00,Other,78.8,OpenCTI Mirror,Central Hub
EXT-400049,2026-04-29T22:00:00,Other,59.0,CyberSentry Feed,Southern Belt
EXT-400050,2026-06-03T18:00:00,Cyber,55.2,CyberSentry Feed,Zone B
EXT-400051,2026-05-01T01:00:00,CYBER-related,77.9,OpenCTI Mirror,Zone I
EXT-400052,2026-07-19T08:00:00,Other,15.9,CyberSentry Feed,Western Zone
EXT-400053,2026-07-21T21:00:00,Cyber,78.9,OpenCTI Mirror,Zone E
EXT-400054,2026-05-14T18:00:00,Cyber,43.1,ThreatWatch Intl,Northern District
EXT-400055,2026-05-06T08:00:00,Cyber,70.0,GlobalIntel API,Central Hub
EXT-400056,2026-05-12T13:00:00,CYBER-related,72.5,GlobalIntel API,Zone G
EXT-400057,2026-07-08T16:00:00,Other,49.0,CyberSentry Feed,Zone E
EXT-400058,2026-05-17T15:00:00,intrusion,76.5,CyberSentry Feed,
EXT-400059,2026-06-02T17:00:00,CYBER-related,37.1,CyberSentry Feed,Zone D
EXT-400060,2026-07-20T12:00:00,Environmental,59.1,OpenCTI Mirror,Southern Belt
EXT-400061,2026-05-23T01:00:00,Cyber,68.7,OpenCTI Mirror,Zone A
EXT-400062,2026-05-24T18:00:00,,73.3,CyberSentry Feed,Eastern Corridor
EXT-400063,2026-06-04T14:00:00,,14.7,ThreatWatch Intl,Zone E
EXT-400064,2026-07-16T07:00:00,,78.9,ThreatWatch Intl,Zone J
EXT-400065,2026-05-28T17:00:00,Cyber,56.8,GlobalIntel API,Zone B
EXT-400066,2026-05-12T20:00:00,,84.0,ThreatWatch Intl,Western Zone
EXT-400067,2026-05-03T13:00:00,Cyber,53.1,ThreatWatch Intl,Zone G
EXT-400068,2026-06-29T07:00:00,intrusion,79.5,ThreatWatch Intl,Zone C
EXT-400069,2026-07-23T07:00:00,Cyber,41.2,ThreatWatch Intl,Zone I
EXT-400070,2026-07-13T22:00:00,Other,83.9,OpenCTI Mirror,
EXT-400071,2026-05-22T08:00:00,Environmental,56.3,ThreatWatch Intl,Northern District
EXT-400072,2026-06-13T21:00:00,Intrusion,34.5,OpenCTI Mirror,Western Zone
EXT-400073,2026-07-01T15:00:00,Physical,20.9,CyberSentry Feed,Zone E
EXT-400074,2026-06-16T09:00:00,Physical,63.9,GlobalIntel API,Zone G
EXT-400075,2026-05-29T06:00:00,intrusion,98.4,OpenCTI Mirror,Central Hub
EXT-400076,2026-06-08T21:00:00,Intrusion,56.8,OpenCTI Mirror,Central Hub
EXT-400077,2026-05-17T21:00:00,CYBER-related,76.3,GlobalIntel API,Western Zone
EXT-400078,2026-06-05T03:00:00,Cyber,83.3,CyberSentry Feed,Zone E
EXT-400079,2026-06-22T04:00:00,intrusion,54.1,ThreatWatch Intl,Zone H
EXT-400080,2026-06-13T14:00:00,Cyber,81.9,ThreatWatch Intl,Western Zone
EXT-400081,2026-07-01T12:00:00,Physical,71.6,GlobalIntel API,Zone D
EXT-400082,2026-05-31T03:00:00,Environmental,31.8,OpenCTI Mirror,Eastern Corridor
EXT-400083,2026-05-06T20:00:00,Other,38.2,GlobalIntel API,Northern District
EXT-400084,2026-06-19T09:00:00,,73.5,ThreatWatch Intl,Southern Belt
EXT-400085,2026-05-29T19:00:00,Physical,62.9,CyberSentry Feed,Central Hub
EXT-400086,2026-07-21T05:00:00,Environmental,66.0,GlobalIntel API,Western Zone
EXT-400087,2026-05-11T11:00:00,CYBER-related,40.5,ThreatWatch Intl,Zone G
