log_id,event_time_raw,incident_type_raw,location_raw,severity_raw,reported_by
INC-100000,23-Jul-2026 15:41,weather alert,Zone C,Medium,Auto-Sensor
INC-100001,16-Jul-2026 21:00,env. hazard,Zone B,Medium,Field Officer
INC-100002,05/29/2026 06:43,PHYSICAL BREACH,Zone G,High,Field Officer
INC-100003,27-Jul-2026 19:47,Cyber Incident,Zone F,Low,Auto-Sensor
INC-100004,2026-07-15 14:06,intrusion detected,Zone G,High,
INC-100005,07/20/2026 19:37,Cyber Incident,Zone E,Low,Auto-Sensor
INC-100006,07-May-2026 04:58,unauthorized-access,Zone E,Low,Hotline
INC-100007,12-Jul-2026 15:09,Intrusion Attempt,Zone C,3,Field Officer
INC-100008,2026-07-01 15:02,unauthorized-access,Zone G,High,Hotline
INC-100009,2026-07-16 16:21,cyber-intrusion,Zone H,Medium,Auto-Sensor
INC-100010,05/19/2026 03:22,perimeter breach,,High,Field Officer
INC-100011,2026-06-22 10:38,phishing attempt,Zone G,Medium,Field Officer
INC-100012,03-May-2026 09:49,misc incident,Zone C,High,SOC Analyst
INC-100013,2026-05-26 11:52,CYBER,,4,
INC-100014,06/22/2026 21:57,Intrusion,Zone C,4,Auto-Sensor
INC-100015,06/17/2026 01:10,weather alert,Zone H,Medium,Field Officer
INC-100016,26-Jul-2026 09:12,INTRUSION,,High,Hotline
INC-100017,2026-06-17 11:19,env. hazard,Zone I,Low,Auto-Sensor
INC-100018,19-Jul-2026 02:24,phishing attempt,Zone F,High,Field Officer
INC-100019,16-Jul-2026 16:20,Cyber Incident,,High,Auto-Sensor
INC-100020,06/15/2026 18:47,Intrusion Attempt,,Low,Field Officer
INC-100021,07/05/2026 17:48,Intrusion Attempt,,Low,
INC-100022,2026-07-15 15:29,malware detected,Zone I,Medium,SOC Analyst
INC-100023,05/16/2026 21:21,INTRUSION,Zone D,High,
INC-100024,2026-07-26 08:08,Other,Zone F,,SOC Analyst
INC-100025,14-Jun-2026 22:31,weather alert,Zone G,Medium,Field Officer
INC-100026,2026-07-23 21:22,Other,Zone A,Medium,SOC Analyst
INC-100027,14-Jun-2026 12:57,unauthorized-access,Zone I,Critical,Hotline
INC-100028,05/11/2026 15:55,perimeter breach,Zone E,Medium,SOC Analyst
INC-100029,03-May-2026 11:12,N/A,Zone H,High,SOC Analyst
INC-100030,07/19/2026 11:10,CYBER,Zone D,,Hotline
INC-100031,2026-06-09 05:37,cyber-intrusion,Zone I,Medium,SOC Analyst
INC-100032,29-Apr-2026 18:41,phishing attempt,Zone B,4,Hotline
INC-100033,10-Jul-2026 17:52,phishing attempt,Zone D,Low,SOC Analyst
INC-100034,07-Jun-2026 00:15,INTRUSION,Zone C,High,Auto-Sensor
INC-100035,02-May-2026 07:35,intrusion detected,Zone B,Medium,SOC Analyst
INC-100036,06/19/2026 22:51,ENVIRONMENTAL,Zone H,High,Auto-Sensor
INC-100037,16-May-2026 18:34,INTRUSION,Zone F,3,
INC-100038,2026-04-30 01:34,PHYSICAL BREACH,Zone B,High,SOC Analyst
INC-100039,09-Jul-2026 07:18,Environmental Risk,Zone D,Critical,SOC Analyst
INC-100040,07/05/2026 21:29,cyber-intrusion,Zone H,High,Hotline
INC-100041,07-May-2026 10:39,phishing attempt,Zone I,Medium,
INC-100042,2026-05-06 17:18,weather alert,Zone B,Low,Field Officer
INC-100043,26-Jun-2026 15:12,malware detected,,Medium,Auto-Sensor
INC-100044,07/17/2026 10:59,unauthorized-access,Zone E,Low,SOC Analyst
INC-100045,06/27/2026 16:49,PHYSICAL BREACH,Zone H,Medium,Field Officer
INC-100046,07/01/2026 05:12,PHYSICAL BREACH,Zone A,Critical,Hotline
INC-100047,20-Jun-2026 21:17,intrusion detected,,Low,SOC Analyst
INC-100048,14-Jul-2026 03:38,misc incident,Zone D,Medium,Hotline
INC-100049,07/12/2026 11:37,intrusion detected,Zone C,Medium,
INC-100050,2026-05-26 17:27,cyber-intrusion,Zone J,3,
INC-100051,06/28/2026 08:22,INTRUSION,,Medium,Hotline
INC-100052,05/24/2026 06:44,ENVIRONMENTAL,,Low,
INC-100053,15-May-2026 01:47,cyber-intrusion,Zone E,4,
INC-100054,2026-07-09 20:05,perimeter breach,Zone H,Medium,
INC-100055,07/06/2026 14:45,Cyber Incident,Zone B,Medium,Auto-Sensor
INC-100056,2026-06-10 00:20,phishing attempt,Zone E,High,SOC Analyst
INC-100057,02-Jul-2026 18:22,Environmental Risk,Zone E,Low,Auto-Sensor
INC-100058,05/01/2026 18:55,Intrusion Attempt,Zone I,3,Auto-Sensor
INC-100059,20-Jul-2026 06:07,unauthorized-access,Zone B,Low,SOC Analyst
INC-100060,16-Jun-2026 13:57,Environmental Risk,Zone C,4,Hotline
INC-100061,05/18/2026 20:46,INTRUSION,Zone B,Medium,SOC Analyst
INC-100062,03-Jun-2026 07:26,Physical Security,Zone A,,Auto-Sensor
INC-100063,07/17/2026 06:54,intrusion detected,Zone I,Low,Auto-Sensor
INC-100064,2026-06-06 00:59,Intrusion,Zone C,3,Hotline
INC-100065,2026-06-11 22:11,phishing attempt,Zone D,Medium,Field Officer
INC-100066,12-Jul-2026 12:42,malware detected,Zone E,Critical,SOC Analyst
INC-100067,2026-07-16 09:10,INTRUSION,Zone G,4,
INC-100068,20-May-2026 05:40,Intrusion Attempt,Zone G,High,Field Officer
INC-100069,07/20/2026 19:02,PHYSICAL BREACH,,Medium,SOC Analyst
INC-100070,20-Jul-2026 11:51,weather alert,Zone J,Critical,
INC-100071,01-Jul-2026 07:50,phishing attempt,Zone E,Low,Auto-Sensor
INC-100072,06-May-2026 18:47,misc incident,Zone H,Medium,
INC-100073,2026-07-22 14:09,Cyber Incident,Zone C,High,
INC-100074,06/07/2026 19:06,Environmental Risk,Zone I,High,
INC-100075,23-Jul-2026 05:26,physical breach,Zone C,Medium,
INC-100076,06/08/2026 16:25,Cyber Incident,Zone J,Low,Hotline
INC-100077,07/03/2026 19:00,N/A,Zone F,Critical,Field Officer
INC-100078,16-Jun-2026 12:55,unauthorized-access,Zone G,High,SOC Analyst
INC-100079,07/21/2026 15:02,physical breach,Zone A,Low,Field Officer
INC-100080,2026-07-09 14:19,INTRUSION,,Medium,Hotline
INC-100081,06/08/2026 20:45,cyber-intrusion,Zone F,High,
INC-100082,07/12/2026 14:02,phishing attempt,Zone H,Medium,SOC Analyst
INC-100083,06/18/2026 06:23,weather alert,Zone F,Critical,Field Officer
INC-100084,17-Jul-2026 12:03,Environmental Risk,Zone E,3,SOC Analyst
INC-100085,2026-07-08 23:26,phishing attempt,Zone I,3,Auto-Sensor
