response_id,dispatch_time,arrival_time,unit,zone_code,response_status,shift
OPS-200000,2026-05-14 04:15,2026-05-14 04:29,Delta Unit,D,Resolved,Night
OPS-200001,2026-06-10 19:23,2026-06-10 19:32,Golf Unit,H,Under Investigation,Night
OPS-200002,2026-07-20 16:03,2026-07-20 16:12,Foxtrot Unit,G,Under Investigation,Day
OPS-200003,2026-06-02 23:21,2026-06-02 23:40,Hotel Unit,D,Resolved,Night
OPS-200004,2026-07-24 23:56,2026-07-25 00:12,Alpha Unit,C,Resolved,Night
OPS-200005,2026-07-21 00:30,2026-07-21 00:40,Delta Unit,J,Resolved,Night
OPS-200006,2026-07-11 14:34,2026-07-11 14:42,Bravo Unit,J,Under Investigation,Day
OPS-200007,2026-05-12 04:32,2026-05-12 04:43,Foxtrot Unit,J,Escalated,Night
OPS-200008,2026-06-09 07:32,2026-06-09 07:39,Bravo Unit,C,Under Investigation,Day
OPS-200009,2026-05-03 11:37,2026-05-03 12:00,Delta Unit,D,Resolved,Day
OPS-200010,2026-07-22 00:19,2026-07-22 00:31,Charlie Unit,J,Under Investigation,Night
OPS-200011,2026-05-02 03:35,2026-05-02 03:48,Bravo Unit,C,Under Investigation,Night
OPS-200012,2026-06-01 14:23,2026-06-01 14:32,Alpha Unit,C,Resolved,Day
OPS-200013,2026-05-04 20:18,2026-05-04 20:23,Bravo Unit,H,Resolved,Night
OPS-200014,2026-05-28 09:25,2026-05-28 09:41,Alpha Unit,D,Closed,Day
OPS-200015,2026-06-02 01:47,2026-06-02 01:52,Bravo Unit,B,Under Investigation,Night
OPS-200016,2026-05-02 02:29,2026-05-02 02:33,Golf Unit,I,Resolved,Night
OPS-200017,2026-07-26 10:32,2026-07-26 10:42,Alpha Unit,I,Resolved,Day
OPS-200018,2026-06-08 22:08,2026-06-08 22:17,Golf Unit,J,Escalated,Night
OPS-200019,2026-06-24 07:26,2026-06-24 07:36,Hotel Unit,D,Closed,Day
OPS-200020,2026-05-03 00:19,2026-05-03 00:36,Golf Unit,F,Resolved,Night
OPS-200021,2026-07-06 01:20,2026-07-06 01:39,Hotel Unit,D,Resolved,Night
OPS-200022,2026-07-12 13:09,2026-07-12 13:21,Delta Unit,J,Resolved,Day
OPS-200023,2026-05-14 11:59,2026-05-14 12:16,Charlie Unit,A,Resolved,Day
OPS-200024,2026-06-22 10:16,2026-06-22 10:34,Echo Unit,F,Resolved,Day
OPS-200025,2026-06-25 06:09,2026-06-25 06:16,Delta Unit,I,Resolved,Day
OPS-200026,2026-05-02 03:57,2026-05-02 04:08,Alpha Unit,I,Resolved,Night
OPS-200027,2026-06-01 22:09,2026-06-01 22:17,Golf Unit,F,Escalated,Night
OPS-200028,2026-06-09 00:37,2026-06-09 00:46,Hotel Unit,A,Resolved,Night
OPS-200029,2026-06-16 08:55,2026-06-16 09:01,Golf Unit,G,Escalated,Day
OPS-200030,2026-05-15 19:25,2026-05-15 19:35,Golf Unit,I,Resolved,Night
OPS-200031,2026-07-06 19:30,2026-07-06 19:40,Foxtrot Unit,F,Resolved,Night
OPS-200032,2026-07-13 07:16,2026-07-13 07:25,Alpha Unit,B,Resolved,Day
OPS-200033,2026-05-31 17:21,2026-05-31 17:31,Hotel Unit,C,Closed,Day
OPS-200034,2026-06-28 04:39,2026-06-28 04:42,Foxtrot Unit,A,Closed,Night
OPS-200035,2026-05-22 00:15,2026-05-22 00:22,Charlie Unit,H,Resolved,Night
OPS-200036,2026-07-27 19:37,2026-07-27 19:45,Echo Unit,I,Escalated,Night
OPS-200037,2026-05-09 23:09,2026-05-09 23:15,Charlie Unit,B,Closed,Night
